"JURISDICTION","Sum(FINES)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Fines_Per_10k_Licences"
"VIC",0,"VIC","Male",2011,115106,177714,198189,388550,388434,337924,256308,143596,72059,2077880,0
"VIC",0,"VIC","Male",2012,113479,179156,203208,394661,393913,345262,264146,148396,71881,2114102,0
"VIC",0,"VIC","Male",2013,112710,178658,207022,406988,398659,353550,273778,152996,71926,2156287,0
"VIC",0,"VIC","Male",2014,112017,181058,209702,418036,402445,360467,281094,158908,73038,2196765,0
"VIC",0,"VIC","Male",2015,111681,182835,212747,428943,405740,365539,287633,165404,70952,2231474,0
"VIC",0,"VIC","Male",2016,111752,184757,214877,441997,410495,369749,295237,172191,73464,2274519,0
"VIC",0,"VIC","Male",2017,110497,186760,216278,454953,415174,374355,298172,184444,77224,2317857,0
"VIC",0,"VIC","Male",2018,112020,188154,219936,468452,419336,379272,303778,194644,79943,2365535,0
"VIC",0,"VIC","Male",2019,110770,189177,224866,479303,421416,383771,310371,202936,83388,2405998,0
"VIC",0,"VIC","Male",2020,99508,188118,229330,488718,425183,388781,316522,211499,88021,2435680,0
"VIC",0,"VIC","Male",2021,109498,188715,233457,494662,426038,392087,322265,219101,92765,2478588,0
"VIC",0,"VIC","Male",2022,115317,186231,232080,496622,429850,394983,328066,225720,97761,2506630,0
"VIC",0,"VIC","Male",2023,123564,192647,237825,508596,440467,397781,335311,232879,101452,2570522,0
"VIC",0,"VIC","Male",2024,130337,203151,247229,528305,454469,401284,342694,239676,107128,2654273,0
"VIC",0,"VIC","Persons",2010,222584,342764,377366,769433,762839,654276,473204,253675,122181,3978322,0
"VIC",0,"VIC","Persons",2011,222824,348543,387888,772201,775274,668899,493618,261994,129341,4060582,0
"VIC",0,"VIC","Persons",2012,220040,351984,396698,782056,787243,684165,511596,272699,129244,4135725,0
"VIC",0,"VIC","Persons",2013,218598,352262,404966,804243,798027,701462,534336,283350,130986,4228230,0
"VIC",0,"VIC","Persons",2014,217622,355894,410775,824416,805679,715458,550973,296927,132943,4310687,0
"VIC",0,"VIC","Persons",2015,217127,358834,417418,845931,813317,725789,566483,311096,128614,4384609,0
"VIC",0,"VIC","Persons",2016,218166,361029,423110,871888,821708,735261,583444,326140,133756,4474502,0
"VIC",0,"VIC","Persons",2017,217207,364588,426492,897943,830253,744291,591258,352149,141414,4565595,0
"VIC",0,"VIC","Persons",2018,222725,366174,433636,926179,837363,754403,603666,374510,147108,4665764,0
"VIC",0,"VIC","Persons",2019,220039,367377,439447,950061,841208,764658,617869,393319,154561,4748539,0
"VIC",0,"VIC","Persons",2020,197008,364936,443981,970255,847693,775244,630814,413473,164302,4807706,0
"VIC",0,"VIC","Persons",2021,216731,365357,447786,984567,847784,784459,642837,431769,173853,4895143,0
"VIC",0,"VIC","Persons",2022,227661,364051,447738,993405,855941,792672,655636,447064,184668,4968836,0
